Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
GPS Altitude,0.176,0.153,0.112,0.085,0.089,0.162,0.108,0.028,0.027,0.018,0.015,-0.001,0.002,-0.009,0.001,0.003,-0.003
Mean of ambient noise levels,-0.065,-0.042,0.047,-0.067,-0.071,0.081,0.019,0.019,0.024,-0.014,0.003,0.003,-0.003,-0.01,-0.001,-0.005,0.001
Ambient Noise Levels Var.,0.034,0.058,0.052,-0.083,-0.083,0.072,-0.031,-0.045,0.014,-0.021,-0.013,-0.008,-0.009,0.002,0.003,-0.001,-0.002
Mean Light Levels (Sleep),-0.083,-0.078,-0.374,-0.432,-0.497,-0.314,0.081,-0.014,0.031,0.039,-0.017,-0.005,0.001,-0.015,-0.01,-0.008,-0.004
Variance of Light Levels (Sleep),-0.054,-0.066,-0.298,-0.297,-0.329,-0.213,-0.124,-0.022,0.018,0.024,0.014,0.003,0.005,0.008,0.008,0.005,0.002
Prop. of in-vehicle,-0.067,-0.102,-0.158,-0.187,-0.207,-0.125,0.055,-0.053,-0.05,-0.031,-0.022,-0.004,-0.014,0.062,-0.005,-0.001,-0.005
Prop. of on-bicycle,-0.031,-0.081,-0.126,-0.145,-0.148,0.046,0.143,-0.102,-0.049,-0.044,0.027,-0.002,-0.004,0.031,-0.003,-0.003,-0.001
Prop. of running,0.048,-0.027,-0.054,-0.072,-0.091,0.072,0.204,-0.078,-0.089,-0.027,0.349,-0.007,-0.001,0.061,-0.007,-0.012,-0.003
Prop. of walking,0.112,0.091,0.164,-0.215,-0.173,0.129,0.278,-0.154,-0.022,-0.016,0.214,-0.006,-0.005,0.056,-0.004,-0.014,-0.004
Incoming Call Freq.\#1355,0.541,0.482,-0.095,-0.091,-0.089,0.051,0.066,0.085,0.023,0.021,-0.011,-0.001,0.004,0.012,0.004,-0.001,0.001
Outgoing Call Freq. \#7415,0.632,0.516,-0.117,-0.113,-0.115,0.047,0.092,0.034,0.052,-0.018,-0.016,0.004,-0.008,0.001,0.003,0.002,0.002
Incoming Call Dur. \#7043,0.593,0.473,-0.108,-0.103,-0.107,0.034,0.033,0.029,0.023,-0.016,-0.018,0.01,0.003,-0.008,0.001,-0.003,-0.003
Incoming SMS Freq. \#9647,0.617,0.694,0.163,-0.158,-0.153,0.089,0.089,0.051,0.057,0.02,-0.008,0.001,-0.012,0.011,-0.003,-0.004,0.002
Entertainment APP Dur.,-0.145,-0.348,-0.462,-0.392,-0.397,-0.393,0.321,0.436,0.132,0.262,-0.015,0.215,0.021,-0.012,-0.021,-0.022,0.01
Outgoing SMS Freq. \#7956,0.486,0.542,0.141,-0.122,-0.127,0.092,0.115,0.093,0.024,-0.024,0.004,0.011,0.006,0.003,-0.005,-0.003,-0.003
art Dur.,-0.087,-0.112,-0.193,-0.215,-0.213,-0.147,0.039,-0.013,-0.031,-0.032,-0.016,-0.009,-0.017,-0.023,-0.012,-0.007,-0.001
canteen Dur.,-0.043,-0.276,-0.217,0.291,0.253,0.173,-0.013,0.214,-0.072,-0.053,0.003,-0.014,0.188,-0.015,-0.01,-0.003,0.003
parks Dur.,-0.134,-0.193,-0.196,-0.176,-0.183,0.197,0.027,-0.023,-0.058,-0.04,0.062,0.019,0.027,0.017,-0.007,-0.008,-0.005
shop Dur.,-0.129,-0.176,-0.172,-0.195,-0.191,-0.082,-0.101,0.134,0.073,0.036,-0.004,-0.005,-0.011,-0.011,-0.005,0.001,0.004
cafe Dur.,-0.113,-0.167,-0.204,0.267,0.233,0.212,0.163,0.052,0.041,-0.028,-0.001,-0.006,-0.005,-0.014,-0.002,-0.002,0.001
Not found Dur.,-0.245,-0.291,-0.288,-0.243,-0.229,-0.134,0.019,-0.062,0.062,-0.025,-0.009,-0.004,-0.003,0.002,0.004,-0.004,-0.002
Screen off Ratio,-0.631,-0.589,-0.645,0.631,0.622,0.564,-0.147,-0.301,-0.198,-0.162,0.115,0.092,0.075,0.057,0.022,0.015,0.004
Music APP Dur.,0.162,0.193,0.493,0.847,0.127,0.149,0.334,-0.033,0.438,0.308,-0.024,-0.002,-0.003,0.016,-0.009,-0.01,-0.001
SSIDs \#3746 Freq.,0.419,0.314,0.215,0.217,0.237,0.283,0.113,-0.012,0.013,0.015,-0.017,-0.007,-0.006,0.009,-0.004,-0.005,0.002
